make,model,year,trim,fuel_type,drivetrain,city_fuel_economy,hwy_fuel_economy,comb_fuel_economy,transmission_type,min_price,med_price,image,expert_score,consumer_score,make_id,model_id,trim_id,fuel_type_id,drivetrain_id,image_id
acura,mdx,2022,MDX Base w/Technology Pkg Sport Utility 4D,Gas,FWD,19,26,22,Automatic,34887,37233,https://file.kelleybluebookimages.com/kbb/base/evox/CP/15124/2022-Acura-MDX-front_15124_032_1834x827_BX_cropped.png?downsize=750:*,4.5,4.2,1,3,37,1,2,10
acura,mdx,2022,MDX SH-AWD w/Technology Pkg Sport Utility 4D,Gas,AWD,19,25,21,Automatic,36075,37233,https://file.kelleybluebookimages.com/kbb/base/evox/CP/15124/2022-Acura-MDX-front_15124_032_1834x827_BX_cropped.png?downsize=750:*,4.5,4.2,1,3,38,1,1,10
acura,mdx,2022,MDX SH-AWD w/A-Spec Pkg Sport Utility 4D,Gas,AWD,19,25,21,Automatic,38391,37233,https://file.kelleybluebookimages.com/kbb/base/evox/CP/15124/2022-Acura-MDX-front_15124_032_1834x827_BX_cropped.png?downsize=750:*,4.5,4.2,1,3,39,1,1,10
acura,mdx,2022,MDX SH-AWD w/Advance Pkg Sport Utility 4D,Gas,AWD,19,25,21,Automatic,39117,37233,https://file.kelleybluebookimages.com/kbb/base/evox/CP/15124/2022-Acura-MDX-front_15124_032_1834x827_BX_cropped.png?downsize=750:*,4.5,4.2,1,3,40,1,1,10
acura,mdx,2022,MDX Type S Sport Utility 4D,Gas,AWD,17,21,19,Automatic,40963,37233,https://file.kelleybluebookimages.com/kbb/base/evox/CP/15124/2022-Acura-MDX-front_15124_032_1834x827_BX_cropped.png?downsize=750:*,4.5,4.2,1,3,42,1,1,10
acura,mdx,2022,MDX Type S w/Advance Pkg Sport Utility 4D,Gas,AWD,17,21,19,Automatic,43980,37233,https://file.kelleybluebookimages.com/kbb/base/evox/CP/15124/2022-Acura-MDX-front_15124_032_1834x827_BX_cropped.png?downsize=750:*,4.5,4.2,1,3,41,1,1,10
acura,ilx,2022,D,Gas,FWD,24,34,28,Automatic,22130,25493,https://file.kelleybluebookimages.com/kbb/base/evox/CP/13357/2022-Acura-ILX-front_13357_032_1841x765_WV_cropped.png?downsize=750:*,4.2,4.3,1,6,52,1,2,11
acura,ilx,2022,D,Gas,FWD,24,34,28,Automatic,23479,25493,https://file.kelleybluebookimages.com/kbb/base/evox/CP/13357/2022-Acura-ILX-front_13357_032_1841x765_WV_cropped.png?downsize=750:*,4.2,4.3,1,6,52,1,2,11
acura,ilx,2022,D,Gas,FWD,24,34,28,Automatic,27507,25493,https://file.kelleybluebookimages.com/kbb/base/evox/CP/13357/2022-Acura-ILX-front_13357_032_1841x765_WV_cropped.png?downsize=750:*,4.2,4.3,1,6,52,1,2,11
acura,ilx,2022,D,Gas,FWD,24,34,28,Automatic,30106,25493,https://file.kelleybluebookimages.com/kbb/base/evox/CP/13357/2022-Acura-ILX-front_13357_032_1841x765_WV_cropped.png?downsize=750:*,4.2,4.3,1,6,52,1,2,11
acura,tlx,2022,TLX 2.0 Sedan 4D,Gas,FWD,22,31,25,Automatic,27828,32536,https://file.kelleybluebookimages.com/kbb/base/evox/CP/14477/2022-Acura-TLX-front_14477_032_1827x718_GY_cropped.png?downsize=750:*,4.2,4.3,1,5,43,1,2,12
acura,tlx,2022,TLX 2.0 w/Technology Pkg Sedan 4D,Gas,FWD,22,31,25,Automatic,29571,32536,https://file.kelleybluebookimages.com/kbb/base/evox/CP/14477/2022-Acura-TLX-front_14477_032_1827x718_GY_cropped.png?downsize=750:*,4.2,4.3,1,5,44,1,2,12
acura,tlx,2022,TLX 2.0 SH-AWD Sedan 4D,Gas,AWD,21,29,24,Automatic,29766,32536,https://file.kelleybluebookimages.com/kbb/base/evox/CP/14477/2022-Acura-TLX-front_14477_032_1827x718_GY_cropped.png?downsize=750:*,4.2,4.3,1,5,53,1,1,12
acura,tlx,2022,TLX 2.0 w/A-Spec Pkg Sedan 4D,Gas,FWD,22,30,25,Automatic,32347,32536,https://file.kelleybluebookimages.com/kbb/base/evox/CP/14477/2022-Acura-TLX-front_14477_032_1827x718_GY_cropped.png?downsize=750:*,4.2,4.3,1,5,45,1,2,12
acura,tlx,2022,TLX 2.0 SH-AWD w/Technology Pkg Sedan 4D,Gas,AWD,21,29,24,Automatic,32536,32536,https://file.kelleybluebookimages.com/kbb/base/evox/CP/14477/2022-Acura-TLX-front_14477_032_1827x718_GY_cropped.png?downsize=750:*,4.2,4.3,1,5,54,1,1,12
acura,tlx,2022,TLX 2.0 SH-AWD w/A-Spec Pkg Sedan 4D,Gas,AWD,21,29,24,Automatic,32589,32536,https://file.kelleybluebookimages.com/kbb/base/evox/CP/14477/2022-Acura-TLX-front_14477_032_1827x718_GY_cropped.png?downsize=750:*,4.2,4.3,1,5,46,1,1,12
acura,tlx,2022,TLX 2.0 SH-AWD w/Advance Pkg Sedan 4D,Gas,AWD,21,29,24,Automatic,33455,32536,https://file.kelleybluebookimages.com/kbb/base/evox/CP/14477/2022-Acura-TLX-front_14477_032_1827x718_GY_cropped.png?downsize=750:*,4.2,4.3,1,5,47,1,1,12
acura,tlx,2022,TLX Type S w/High Performance Wheel & Tire Pkg Sedan 4D,Gas,AWD,19,24,21,Automatic,40408,32536,https://file.kelleybluebookimages.com/kbb/base/evox/CP/14477/2022-Acura-TLX-front_14477_032_1827x718_GY_cropped.png?downsize=750:*,4.2,4.3,1,5,49,1,1,12
acura,tlx,2022,TLX Type S Sedan 4D,Gas,AWD,19,25,21,Automatic,41884,32536,https://file.kelleybluebookimages.com/kbb/base/evox/CP/14477/2022-Acura-TLX-front_14477_032_1827x718_GY_cropped.png?downsize=750:*,4.2,4.3,1,5,48,1,1,12
acura,nsx,2022,NSX Type S Coupe 2D,Hybrid,AWD,21,22,21,Automatic,260661,260661,https://file.kelleybluebookimages.com/kbb/base/evox/CP/50711/2022-Acura-NSX-front_50711_032_1847x654_RL_cropped.png?downsize=750:*,0.0,0.0,1,7,55,3,1,13
acura,rdx,2021,RDX Sport Utility 4D,Gas,FWD,22,28,24,Automatic,25962,30129,https://file.kelleybluebookimages.com/kbb/base/evox/CP/12860/2021-Acura-RDX-front_12860_032_1834x858_RV_cropped.png?downsize=750:*,4.5,3.9,1,1,24,1,2,14
acura,rdx,2021,RDX SH-AWD Sport Utility 4D,Gas,AWD,21,27,23,Automatic,27879,30129,https://file.kelleybluebookimages.com/kbb/base/evox/CP/12860/2021-Acura-RDX-front_12860_032_1834x858_RV_cropped.png?downsize=750:*,4.5,3.9,1,1,27,1,1,14
acura,rdx,2021,RDX FWD w/Technology Pkg Sport Utility 4D,Gas,FWD,22,28,24,Automatic,29217,30129,https://file.kelleybluebookimages.com/kbb/base/evox/CP/12860/2021-Acura-RDX-front_12860_032_1834x858_RV_cropped.png?downsize=750:*,4.5,3.9,1,1,25,1,2,14
acura,rdx,2021,RDX FWD w/A-SPEC Pkg Sport Utility 4D,Gas,FWD,22,27,24,Automatic,29515,30129,https://file.kelleybluebookimages.com/kbb/base/evox/CP/12860/2021-Acura-RDX-front_12860_032_1834x858_RV_cropped.png?downsize=750:*,4.5,3.9,1,1,56,1,2,14
acura,rdx,2021,RDX SH-AWD w/Technology Pkg Sport Utility 4D,Gas,AWD,21,27,23,Automatic,30129,30129,https://file.kelleybluebookimages.com/kbb/base/evox/CP/12860/2021-Acura-RDX-front_12860_032_1834x858_RV_cropped.png?downsize=750:*,4.5,3.9,1,1,26,1,1,14
acura,rdx,2021,RDX FWD w/Advance Pkg Sport Utility 4D,Gas,FWD,22,28,24,Automatic,30502,30129,https://file.kelleybluebookimages.com/kbb/base/evox/CP/12860/2021-Acura-RDX-front_12860_032_1834x858_RV_cropped.png?downsize=750:*,4.5,3.9,1,1,57,1,2,14
acura,rdx,2021,RDX SH-AWD PMC Edition Sport Utility 4D,Gas,AWD,21,26,23,Automatic,31106,30129,https://file.kelleybluebookimages.com/kbb/base/evox/CP/12860/2021-Acura-RDX-front_12860_032_1834x858_RV_cropped.png?downsize=750:*,4.5,3.9,1,1,51,1,1,14
acura,rdx,2021,RDX SH-AWD w/Advance Pkg Sport Utility 4D,Gas,AWD,21,27,23,Automatic,31157,30129,https://file.kelleybluebookimages.com/kbb/base/evox/CP/12860/2021-Acura-RDX-front_12860_032_1834x858_RV_cropped.png?downsize=750:*,4.5,3.9,1,1,30,1,1,14
acura,rdx,2021,RDX SH-AWD w/A-SPEC Pkg Sport Utility 4D,Gas,AWD,21,26,23,Automatic,31784,30129,https://file.kelleybluebookimages.com/kbb/base/evox/CP/12860/2021-Acura-RDX-front_12860_032_1834x858_RV_cropped.png?downsize=750:*,4.5,3.9,1,1,58,1,1,14
acura,ilx,2021,D,Gas,FWD,24,34,28,Automatic,20817,23862,https://file.kelleybluebookimages.com/kbb/base/evox/CP/13357/2021-Acura-ILX-front_13357_032_1841x765_RE_cropped.png?downsize=750:*,4.2,4.3,1,6,52,1,2,15
acura,ilx,2021,D,Gas,FWD,24,34,28,Automatic,21314,23862,https://file.kelleybluebookimages.com/kbb/base/evox/CP/13357/2021-Acura-ILX-front_13357_032_1841x765_RE_cropped.png?downsize=750:*,4.2,4.3,1,6,52,1,2,15
acura,ilx,2021,D,Gas,FWD,24,34,28,Automatic,26410,23862,https://file.kelleybluebookimages.com/kbb/base/evox/CP/13357/2021-Acura-ILX-front_13357_032_1841x765_RE_cropped.png?downsize=750:*,4.2,4.3,1,6,52,1,2,15
acura,ilx,2021,D,Gas,FWD,24,34,28,Automatic,28197,23862,https://file.kelleybluebookimages.com/kbb/base/evox/CP/13357/2021-Acura-ILX-front_13357_032_1841x765_RE_cropped.png?downsize=750:*,4.2,4.3,1,6,52,1,2,15
